m,pop,numClusters,mutation_rate,recombination_rate
0.0001,10000,3,1e-04,1e-06
0.0001,10000,3,1e-05,1e-06
0.0001,10000,3,1e-06,1e-06
0.0001,10000,3,1e-07,1e-06
0.0001,10000,3,1e-08,1e-06
0.0001,10000,3,1e-09,1e-06
0.0001,10000,3,1e-10,1e-06
0.0001,10000,3,1e-11,1e-06
0.0001,10000,3,1e-12,1e-06

0.0001,10000,3,1e-09,1e-04
0.0001,10000,3,1e-09,1e-05
0.0001,10000,3,1e-09,1e-06
0.0001,10000,3,1e-09,1e-07
0.0001,10000,3,1e-09,1e-08
0.0001,10000,3,1e-09,1e-09

0.1,10000,3,1e-09,1e-06
0.01,10000,3,1e-09,1e-06
0.001,10000,3,1e-09,1e-06
0.0001,10000,3,1e-09,1e-06
0.00001,10000,3,1e-09,1e-06
0.000001,10000,3,1e-09,1e-06
0.0000001,10000,3,1e-09,1e-06



