Alsum25-2015,43.209314,-90.147798,9,10,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,,,,,,,,
Alsum140-2015,43.21003333,-90.19736389,37,38,39.0,40.0,41.0,42.0,43.0,,,,,,,,,,,,
Arlington-2015,43.30438055,-89.33189999,53,54,55.0,56.0,,,,,,,,,,,,,,,
Arlington2015,43.30438055,-89.33189999,74,75,,,,,,,,,,,,,,,,,
C5-2015,44.04552222,-89.62331111,85,86,87.0,88.0,89.0,90.0,91.0,,,,,,,,,,,,
C44-L15-2015,44.00073889,-89.59624167,117,118,119.0,120.0,121.0,122.0,123.0,,,,,,,,,,,,
GarrisonNE-2015,44.36995,-89.612148,151,152,153.0,154.0,155.0,156.0,157.0,,,,,,,,,,,,
Mortensen9-2015,44.20953889,-89.61269444,175,176,177.0,178.0,179.0,,,,,,,,,,,,,,
H10-2015,44.122947,-89.652968,181,182,183.0,192.0,193.0,194.0,195.0,,,,,,,,,,,,
H15-2015,44.13749444,-89.62359167,197,198,199.0,200.0,201.0,202.0,203.0,204.0,,,,,,,,,,,
H41-2015,44.15935556,-89.53771944,214,215,216.0,217.0,226.0,227.0,228.0,,,,,,,,,,,,
H53-2015,44.08141111,-89.5689,230,231,232.0,233.0,234.0,235.0,236.0,237.0,238.0,239.0,240.0,241.0,242.0,243.0,244.0,245.0,246.0,247.0,248.0
H67-2015,44.07924722,-89.548275,262,263,,,,,,,,,,,,,,,,,
Refuge-2015,44.087325,-89.50988333,265,266,267.0,268.0,269.0,270.0,271.0,272.0,,,,,,,,,,,
Hesler-2015,43.919667,-89.662781,274,275,276.0,277.0,278.0,279.0,280.0,,,,,,,,,,,,
SilverValley-2015,43.89850833,-89.69366111,282,283,284.0,285.0,286.0,,,,,,,,,,,,,,
PFEast-2015,44.43760278,-89.59420278,320,321,322.0,323.0,324.0,325.0,326.0,,,,,,,,,,,,
LaszSE-O14-2015,44.41390278,-89.62209167,334,335,336.0,337.0,338.0,,,,,,,,,,,,,,
Paramount257-2015,44.16775278,-89.45960833,346,347,348.0,349.0,350.0,351.0,352.0,,,,,,,,,,,,
BrilowskiHome-2015,44.55635278,-89.50217222,362,363,364.0,365.0,366.0,367.0,368.0,,,,,,,,,,,,
BrilowskiNE-2015,44.53981944,-89.49151111,394,395,396.0,397.0,398.0,399.0,400.0,,,,,,,,,,,,
Wysocki122-2015,44.25806944,-89.70194722,410,411,412.0,413.0,414.0,415.0,416.0,,,,,,,,,,,,
Paramount528-2015,44.29095,-89.54353889,434,435,436.0,437.0,438.0,439.0,440.0,,,,,,,,,,,,
Paramount652-2015,44.34494722,-89.51632778,466,467,468.0,469.0,470.0,471.0,472.0,,,,,,,,,,,,
